"t_orbit","x_corot","y_corot","vx","vy","omega_bary","r1","r2","dist_to_L5"
0,0.519046,-0.8660254037844386,-4.567796472924439e-22,-3.2116035563446897e-22,-5.515738655370113e-22,1.0101485039339513,0.990151503558925,0.020000000000000018
0.01001669449081803,0.5190745796849177,-0.8660777664765327,0.0008736081722471853,-0.0016835005957166204,-0.00011500371356025309,1.0102081079035607,0.9901834486115474,0.020028648133276997
0.02003338898163606,0.5191516084236947,-0.866239753307753,0.0015392805947395327,-0.003482792194387226,-0.00046545294077873734,1.0103866359589573,0.9902878052753498,0.020106751000723313
0.03005008347245409,0.5192639107027218,-0.86651842925973,0.001994120115086599,-0.0053903438079075435,-0.0010495634145038283,1.0106833642949975,0.9904771786655213,0.02022392116535565
0.04006677796327212,0.5193981490177116,-0.8669203579645016,0.0022360933738295153,-0.007398135708258769,-0.0018643043290492477,1.0110970606428695,0.9907638305899278,0.02037181662551363
0.05008347245409015,0.5195408841769785,-0.8674515840008831,0.0022640024081299654,-0.009497697921649789,-0.0029054592899330598,1.011626005517873,0.9911596272478467,0.020544446145796744
0.06010016694490818,0.5196786278305313,-0.868117605211234,0.0020774814586299135,-0.011680130449813864,-0.004167662943222537,1.0122680028724669,0.9916759823542919,0.02073843383680409
0.07011686143572622,0.519797894521893,-0.8689233464574342,0.001676986572882647,-0.013936129647321773,-0.005644452681966945,1.0130203935098872,0.9923238023060522,0.0209532622277234
0.08013355592654424,0.5198852530502023,-0.8698731351096883,0.0010637835655148485,-0.016256017237182216,-0.007328328217220606,1.013880071163967,0.9931134339052343,0.021191496031230866
0.09015025041736228,0.5199273769783792,-0.8709706784727319,0.0002399331024175687,-0.018629772790485995,-0.009210819667800572,1.014843501059224,0.9940546150415404,0.021458975890192432
0.1001669449081803,0.519911094124962,-0.8722190433620522,-0.000791726632060881,-0.021047069554019072,-0.011282562818127369,1.0159067407401228,0.9951564287242962,0.02176495633032385
0.11018363939899832,0.519823434896426,-0.8736206380374801,-0.002027599404327112,-0.023497313513214563,-0.013533380283504398,1.0170654629385047,0.996427260822115,0.02212214691737214
0.12020033388981637,0.5196516793338629,-0.8751771966929653,-0.003463352275378259,-0.02596968552744967,-0.01595236727581128,1.0183149802325557,0.9978747618305137,0.022546603607872872
0.1302170283806344,0.5193834027637168,-0.8768897666893051,-0.005093938579121595,-0.028453186319236462,-0.018527980642459516,1.019650271239759,0.9995058129455179,0.02305741382944481
0.14023372287145244,0.5190065199565829,-0.8787586987011957,-0.006913622321579867,-0.030936684047340752,-0.021248129862950424,1.0210660080800549,1.0013264966749722,0.023676130519454736
0.15025041736227046,0.5185093277105987,-0.8807836399315567,-0.008916003816728362,-0.03340896414923952,-0.024100268728400716,1.0225565848437195,1.0033420721698327,0.024425942351202382
0.16026711185308848,0.517880545786575,-0.882963530524997,-0.011094046406100662,-0.03585878109901703,-0.02707148649605981,1.0241161468010984,1.0055569554060968,0.02533061887253866
0.17028380634390652,0.5171093561306334,-0.8852966032889981,-0.013440104141227087,-0.03827491169541252,-0.030148597400180905,1.0257386200979142,1.007974704295255,0.026413329306367708
0.18030050083472457,0.5161854403267429,-0.8877803868063179,-0.015945950338865523,-0.040646209469797634,-0.03331822750722533,1.0274177416900256,1.0105980087482591,0.027695481598922145
0.19031719532554256,0.515099015226279,-0.8904117119957411,-0.018602806948460438,-0.042961659787392324,-0.03656689802441442,1.0291470892847732,1.0134286856660228,0.029195741573588865
0.2003338898163606,0.513840866704687,-0.8931867221510889,-0.02140137469778705,-0.04521043520466079,-0.03988110430005552,1.030920111071902,1.016467678779374,0.0309293597771436
0.21035058430717865,0.5124023814967292,-0.8961008864607876,-0.0243318640057753,-0.047381950643718085,-0.04324738988900362,1.0327301550449781,1.0197150632141148,0.03290786509182171
0.22036727879799664,0.51077557706188,-0.8991490169827194,-0.027384026670247412,-0.049465917947657825,-0.046652415191627765,1.0345704977336834,1.0231700546131914,0.03513910541490643
0.2303839732888147,0.5089531294304535,-0.9023252890219109,-0.030547188352916824,-0.05145239939047407,-0.050083020307671096,1.0364343721878777,1.0268310226086732,0.037627554820974164
0.24040066777963273,0.5069283989793225,-0.9056232648322223,-0.03381028189361543,-0.05333185972988055,-0.053526281873233446,1.0383149950753698,1.0306955084018365,0.04037477942018771
0.25041736227045075,0.5046954540838929,-0.9090359205378726,-0.03716188149066724,-0.0550952164105781,-0.05696956376777971,1.040205592776484,1.034760246180578,0.04337995946106272
0.2604340567612688,0.5022490925906301,-0.9125556761466247,-0.040590237784918604,-0.05673388754804185,-0.06040056168648847,1.042099426379363,1.0390211880798859,0.04664039073853658
0.27045075125208684,0.4995848610521765,-0.9161744285039979,-0.04408331388102288,-0.05823983734934011,-0.06380734167030884,1.04398981550015,1.0434735323733344,0.05015191971955332
0.2804674457429049,0.4966990716652032,-0.9198835870170926,-0.04762882233199336,-0.05960561865483068,-0.06717837277020118,1.0458701608714367,1.0481117545714476,0.05390929394576417
0.2904841402337229,0.49358881684983735,-0.9236741119576823,-0.051214263101937926,-0.06082441231511844,-0.07050255409392889,1.0477339656604556,1.0529296410961704,0.057906427984967604
0.3005008347245409,0.4902519814089901,-0.9275365551371871,-0.054826962507921594,-0.061890063147782004,-0.07376923654216039,1.0495748554951807,1.0579203251992795,0.062136595527271736
0.31051752921535897,0.48668725220635045,-0.9314611027310785,-0.0584541131258673,-0.06279711225040469,-0.07696823958742093,1.0513865971917153,1.0630763247959543,0.06659256222478852
0.32053422370617696,0.48289412530331777,-0.9354376200171789,-0.06208281462725192,-0.06354082547779386,-0.0800898634837463,1.0531631161899562,1.0683895818924403,0.07126667396867921
0.330550918196995,0.4788729104978269,-0.9394556977812277,-0.06570011549463257,-0.06411721792281792,-0.08312489731901163,1.0548985127165091,1.073851503298221,0.07615091343193181
0.34056761268781305,0.4746247332119049,-0.9435047001339494,-0.06929305554432659,-0.0645230742711241,-0.08606462333577262,1.0565870767041843,1.079453002327792,0.08123693516098839
0.35058430717863104,0.4701515336799293,-0.9475738134766561,-0.07284870916508553,-0.06475596493044229,-0.08890081795202312,1.0582233015061346,1.0851845412143895,0.08651608698532003
0.36060100166944914,0.46545606339589685,-0.9516520963470942,-0.07635422916243328,-0.06481425786440381,-0.09162574991109206,1.05980189644989,1.0910361739772838,0.09197942335265652
0.37061769616026713,0.4605418787855413,-0.9557285298737349,-0.07979689108004367,-0.06469712608928072,-0.09423217598152452,1.0613177982822344,1.0969975895049027,0.09761771448200332
0.3806343906510851,0.4554133320777702,-0.9597920685649681,-0.08316413785261267,-0.06440455081952726,-0.09671333461436808,1.0627661815601785,1.1030581546375793,0.10342145393522457
0.3906510851419032,0.450075559359556,-0.9638316911596032,-0.08644362462896636,-0.06393732027458643,-0.09906293794753442,1.0641424680462932,1.1092069570556,0.10938086627300285
0.4006677796327212,0.4445344658089956,-0.9678364512666446,-0.08962326359074611,-0.06329702418398625,-0.10127516252608426,1.0654423351684805,1.1154328478000248,0.11548591580483333
0.41068447412353926,0.4387967081126329,-0.9717955275254369,-0.09269126858004977,-0.06248604405269326,-0.1033446390843351,1.0666617236050069,1.121724483275077,0.12172631699478648
0.4207011686143573,0.43286967408519167,-0.9756982730218677,-0.0956361993400661,-0.06150753927094693,-0.10526644171101389,1.06779684405538,1.1280703666014131,0.12809154678726134
0.43071786310517535,0.42676145952245026,-0.9795342637023461,-0.09844700516511995,-0.060365429175298,-0.10703607669326487,1.0688441832565672,1.1344588882090427,0.13457085892537682
0.4407345575959933,0.4204808423309661,-0.9832933455346327,-0.10111306775164587,-0.059064371188018064,-0.10864947130960355,1.069800509302186,1.1408783655768413,0.14115330021606673
0.4507512520868114,0.41403725399158475,-0.9869656801732462,-0.10362424303871168,-0.05760973518230219,-0.11010296281643521,1.070662876319781,1.147317082042352,0.1478277286266836
0.4607679465776294,0.4074407484269993,-0.9905417888970403,-0.10597090182615945,-0.05600757423933147,-0.11139328784762201,1.0714286285581978,1.1537633246208263,0.15458283306131532
0.4707846410684474,0.4007019683569257,-0.9940125945975586,-0.1081439689600049,-0.05426459198104787,-0.11251757242220457,1.0720954039334887,1.1602054207861032,0.16140715464950123
0.48080133555926546,0.39383210923759226,-0.9973694616088777,-0.11013496087851338,-0.052388106679216846,-0.11347332273198699,1.0726611370777535,1.1666317741780199,0.1682891093777416
0.4908180300500835,0.38684288089507457,-1.0006042331827871,-0.11193602131804471,-0.05038601235725525,-0.114258416858291,1.0731240619309876,1.1730308992115737,0.17521701189982633
0.5008347245409015,0.3797464669744313,-1.0037092664272298,-0.11353995498514241,-0.048266737115887526,-0.11487109754558446,1.0734827139113317,1.1793914545720499,0.18217910037201782
0.5108514190317196,0.3725554823384803,-1.006677464540919,-0.11494025901073562,-0.04603919892736378,-0.11530996613939953,1.0737359316942379,1.1857022755879034,0.18916356217126995
0.5208681135225376,0.3652829285613196,-1.0095023061928485,-0.11613115201308442,-0.04371275915563393,-0.11557397777646357,1.0738828586259812,1.1919524054793755,0.19615856036742801
0.5308848080133556,0.3579421476722314,-1.012177871911971,-0.11710760060826038,-0.041297174071171526,-0.11566243789622203,1.0739229437916924,1.1981311254857505,0.20315226083286908
0.5409015025041737,0.3505467743153396,-1.0146988673695703,-0.11786534322023644,-0.038802544639685486,-0.11557500012491738,1.073855942752738,1.2042279838779253,0.21013285988474809
0.5509181969949917,0.34311068649925,-1.0170606434546952,-0.11840091105722514,-0.03623926487231499,-0.11531166556579411,1.0736819179628134,1.210232823865642,0.2170886123656168
0.5609348914858098,0.33564795511882956,-1.0192592130614053,-0.1187116461358894,-0.03361796903336952,-0.11487278351179711,1.0734012388666103,1.2161358104104634,0.22400786007754014
0.5709515859766277,0.32817279243823083,-1.021291264525398,-0.11879571625093364,-0.0309494780076675,-0.11425905357988819,1.0730145816793752,1.2219274559564095,0.23087906049288756
0.5809682804674458,0.3206994997302038,-1.0231541716667625,-0.1186521268039165,-0.028244745134455924,-0.11347152924888294,1.072522928840119,1.2275986450902345,0.23769081567174957
0.5909849749582637,0.3132424142716429,-1.0248460004150601,-0.11828072942172017,-0.02551480181880004,-0.11251162276530188,1.071927568125712,1.2331406581427025,0.24443190132145504
0.6010016694490818,0.30581585589917265,-1.0263655120125406,-0.1176822273116572,-0.022770703232558694,-0.11138111136338154,1.0712300914076134,1.2385451937409544,0.2510912959380033
0.6110183639398998,0.29843407333139355,-1.0277121628109842,-0.11685817731669543,-0.020023474417990152,-0.11008214472678161,1.070432393027563,1.2438043903202496,0.2576582099724333
0.6210350584307179,0.29111119046619305,-1.0288861006973182,-0.11581098865060196,-0.017284057105203473,-0.10861725359983701,1.0695366677632823,1.2489108466010692,0.26412211496731847
0.6310517529215359,0.28386115286229946,-1.0298881582026442,-0.11454391830851225,-0.014563257551347675,-0.1069893594354567,1.0685454083500663,1.253857641034823,0.2704727726097337
0.6410684474123539,0.2766976746140604,-1.030719842368558,-0.11306106316357856,-0.01187169570470813,-0.10520178494506079,1.0674614025191997,1.2586383502182572,0.2767002636472721
0.651085141903172,0.26963418582728943,-1.0313833214634842,-0.11136734877492128,-0.009219755989234826,-0.10325826539295968,1.0662877295094193,1.2632470662731712,0.2827950166130307
0.66110183639399,0.2626837809020077,-1.0318814086600894,-0.1094685149456355,-0.00661753999615951,-0.10116296045345334,1.0650277560032253,1.2676784131842151,0.28874783630399586
0.671118530884808,0.2558591678250652,-1.0322175428025175,-0.10737109808258008,-0.004074821357928429,-0.09892046642392609,1.063685131435808,1.2719275620834236,0.29454993195498175
0.6811352253756261,0.24917261867201385,-1.0323957664091121,-0.10508241042042621,-0.0016010030659327306,-0.09653582856009557,1.0622637826207544,1.2759902454657424,0.3001929450472588
0.6911519198664441,0.2426359215133084,-1.0324207010722493,-0.10261051618404618,0.0007949225219868887,-0.09401455327353933,1.060767907633604,1.279862770315145,0.30566897668728216
0.7011686143572621,0.23626033391497736,-1.0322975204318374,-0.09996420477176914,0.0031044107567896897,-0.09136261990306188,1.0592019688918852,1.2835420301160736,0.31097061448657043
0.7111853088480801,0.23005653821842798,-1.032031920912718,-0.09715296105074975,0.005319398648885778,-0.08858649174422037,1.0575706853684828,1.2870255157198347,0.3160909588688065
0.7212020033388983,0.22403459877808082,-1.0316300904285325,-0.09418693286262043,0.007432335510364505,-0.08569312599359022,1.055879023874282,1.2903113250303373,0.3210236487247192
0.7312186978297163,0.21820392132914715,-1.0310986752654183,-0.09107689584420406,0.009436210129638828,-0.08268998223852597,1.0541321893460105,1.2933981714681364,0.32576288632930356
0.7412353923205343,0.21257321465111767,-1.0304447453680528,-0.08783421567244858,0.011324574347586703,-0.0795850290976058,1.0523356140762774,1.2962853911662586,0.3303034614295406
0.7512520868113522,0.20715045468549084,-1.02967575825787,-0.08447080784821628,0.01309156293370718,-0.07638674859591077,1.0504949458249977,1.298972948845696,0.33464077440403817
0.7612687813021702,0.20194285125895844,-1.0287995218186776,-0.08099909513646295,0.014731909692987575,-0.07310413783985922,1.0486160347549238,1.3014614423129187,0.3387708583890678
0.7712854757929885,0.1969568175557278,-1.027824156188193,-0.07743196278466695,0.01624095976810851,-0.06974670754324318,1.0467049191388886,1.303752105516264,0.3426904002583967
0.7813021702838064,0.19219794247490837,-1.0267580549951465,-0.07378271164417025,0.01761467813687359,-0.06632447694763821,1.044767809792801,1.3058468100927574,0.34639676033725403
0.7913188647746244,0.18767096600091282,-1.0256098461804302,-0.07006500932308612,0.01884965434215107,-0.0628479646797903,1.0428110731964304,1.3077480653318763,0.349887990723849
0.8013355592654424,0.18337975770661846,-1.0243883526372553,-0.06629283950316518,0.019943103529124463,-0.05932817509588782,1.0408412132737213,1.3094590164781312,0.3531628520852436
0.8113522537562604,0.17932729850054918,-1.0231025528993618,-0.06248044955800712,0.020892863903083276,-0.055776579679982174,1.0388648518157861,1.310983441290216,0.35622082878822053
0.8213689482470785,0.17551566572052732,-1.0217615420979944,-0.0586422966153554,0.02169739075922528,-0.05220509309142385,1.0368887075429003,1.3123257447710654,0.35906214222026567
0.8313856427378966,0.1719460216670279,-1.0203744933976415,-0.0547929922137969,0.022355747273325077,-0.048626043496660575,1.034919573816706,1.3134909519805975,0.36168776215107884
