"t_s","disp_lp1_units","disp_lp2_units","disp_lp3_units","disp_lp4_units","disp_lp5_units","disp_lp6_units"
0,0.13428170919621418,0.005439035175189057,0.000039266759576804564,2.2042580682114304e-7,-6.132608834334721e-10,-9.267905489986861e-14
0.013377926421404682,0.13639076205649822,0.005864434339843305,0.00005953947135543979,-0.0000012156716632527219,-2.0233971694671493e-7,2.569142599271784e-9
0.026755852842809364,0.1428128478086394,0.007166935281353564,0.00011172375826691837,-0.000001996679472307691,-2.199656272586931e-7,-5.558362854273102e-9
0.04013377926421405,0.15364065475105446,0.009430051674969662,0.00017930667600563353,0.0000014812988968534286,6.265920791072066e-7,-1.8294102561725994e-8
0.05351170568561873,0.16845890499390748,0.012787868914967004,0.0002602481874411565,0.000003776540191549787,0.0000013095086345015402,2.502455033285018e-8
0.06688963210702341,0.1859818919811782,0.01741502914565233,0.00038590223100115053,-0.0000024764853518812122,-1.8599136326457162e-7,1.072055024453823e-7
0.0802675585284281,0.2042708566232675,0.02353470013698022,0.0006251631424974845,-0.000010688210748781451,-0.0000033463869110910276,3.528902462112902e-8
0.09364548494983277,0.22149522598482196,0.0314477358447423,0.00106794865972752,-9.722966228223035e-8,-0.000003459837117508003,-3.083525112491966e-7
0.10702341137123746,0.23650249925662345,0.04151676356078387,0.0017920373573689803,0.000040554091659347076,0.0000032473247963846766,-5.236069546455408e-7
0.12040133779264214,0.2484318194683209,0.05402067022619904,0.0028368850407224184,0.0000933142658483586,0.000011745537911373904,1.2276657735876952e-7
0.13377926421404682,0.255812781804228,0.0689314216487522,0.004217110808065387,0.00012506864125025135,0.0000097878111934172,0.0000015418372984576597
0.14715719063545152,0.2564769080458595,0.08581192793624456,0.005980196074350372,0.00012551140400505274,-0.000008075757294879042,0.0000019718776571783045
0.1605351170568562,0.2487822035438228,0.103965578710324,0.008260798755633977,0.0001289194727139236,-0.000029924984214739774,-5.82581476487895e-7
0.17391304347826086,0.2328322352140858,0.12269114982224508,0.011282029205732912,0.000197864688409809,-0.000034634545046373805,-0.000005060907679250498
0.18729096989966554,0.21013050432015076,0.14136584102173505,0.015314929925052442,0.0003873583979782878,-0.000010761861116337007,-0.000006171382505538517
0.20066889632107024,0.18200681864189944,0.15928200436344336,0.02065159432556893,0.0007262584475670297,0.00003618937097588185,9.689643847401926e-7
0.2140468227424749,0.14885951477488016,0.1754863363765608,0.02759906958946184,0.0012268151022823157,0.00009112895481148583,0.000013411275426668559
0.22742474916387959,0.11121817462922973,0.1888607855214301,0.036429804831708816,0.0019011848408916,0.00013310975540518666,0.000019147045594757426
0.2408026755852843,0.07112760921382716,0.1983662713850979,0.047250210994759116,0.0027646883956243084,0.00013109063784568024,0.000007343350138553903
0.25418060200668896,0.03178222874317116,0.2031714265111873,0.05987445097717008,0.003840372774546469,0.00005790292114362004,-0.00001819155866370759
0.26755852842809363,-0.004356563873681948,0.20260337824728933,0.0738458886797557,0.005194893403172676,-0.00006527085308614775,-0.00003749541849284348
0.2809364548494983,-0.03666111136944773,0.1961498256282025,0.08863379512731766,0.0069992799453700355,-0.00013776285122855955,-0.00003004984288379094
0.29431438127090304,-0.06539982972961114,0.18366882217525962,0.10383537866017514,0.009552898446120643,-0.00002271353858936605,0.000006870688334317982
0.3076923076923077,-0.09013739612731884,0.16561546715681294,0.11917337692644796,0.013215432416992887,0.00034544054246964887,0.00005538064539979252
0.3210702341137124,-0.10954219402929438,0.1429827786970522,0.13425405744104124,0.01827229610304664,0.0008865866103206933,0.00009167734684674655
0.33444816053511706,-0.12261024494913622,0.11697489077482022,0.14830654067667606,0.02483791966525045,0.0014191603540596918,0.00010167582725294219
0.34782608695652173,-0.12962550686636445,0.0887334752700097,0.16017757384123618,0.03287604104533727,0.0017998036340964641,0.0000848258576371449
0.3612040133779264,-0.1318581401377168,0.05933879112121448,0.16865489396711553,0.04231125354786517,0.002051675540445305,0.00005040166081566561
0.3745819397993311,-0.13072931433990054,0.029945357188573617,0.1728773953900682,0.05311807372167876,0.0023968465859436562,0.00001747350280486915
0.3879598662207358,-0.127355537035323,0.0017940440596782346,0.17250347876203437,0.06529801509881693,0.003188363417860517,0.0000174216221689237
0.4013377926421405,-0.12243030464399808,-0.023961733259433387,0.16752679225151879,0.07874709683295086,0.00478264076990549,0.00008832769259943646
0.41471571906354515,-0.11612237835259805,-0.04646137013896474,0.1579850693965875,0.09310652529115003,0.007409453754326168,0.00025913180670372976
0.4280936454849498,-0.10831891856607677,-0.06523623971456599,0.1438979079985764,0.10770554540441603,0.011115332582064432,0.0005351693134025838
0.4414715719063545,-0.09942448890138418,-0.08016963758308648,0.12551727298437587,0.12165597323809137,0.01585091689367081,0.0008960035836936968
0.45484949832775917,-0.09081754743977004,-0.09134389168931367,0.10361319847014136,0.13405039343990524,0.021663939302124284,0.0013065107614881808
0.4682274247491639,-0.0839865025308281,-0.0988501452683679,0.0794663609105527,0.14412945253645446,0.028820855210992456,0.0017407488599663827
0.4816053511705686,-0.079038154583895,-0.10272349233112503,0.05451476127946047,0.1512989341738946,0.03768875917850367,0.0022192943795815196
0.49498327759197325,-0.07456244186564603,-0.10312399236513041,0.02993328804312211,0.1550223906197069,0.04843518324104139,0.0028440177884025628
0.5083612040133779,-0.06933699435704986,-0.10061441997472574,0.006458090835964586,0.15475595044058402,0.06081526581812132,0.0037952788552930643
0.5217391304347826,-0.06388542952456654,-0.09617952595716044,-0.015456972040304625,0.15006291353946494,0.07424947459421762,0.005276843259674225
0.5351170568561873,-0.05978575038700282,-0.09082763827090007,-0.03533605626867766,0.14084696763512644,0.08808946212596462,0.007456078118671149
0.5484949832775919,-0.057541574105939124,-0.0851053534190841,-0.05250249925157159,0.1274869357408552,0.10178064815073025,0.010469659551223096
0.5618729096989966,-0.05573863753923276,-0.07903077053455969,-0.06619566579282331,0.11072730881925731,0.114779966386713,0.014494731699010251
0.5752508361204013,-0.05264320325159728,-0.07254473583279743,-0.0759277201393437,0.09141258766730616,0.12638664028544877,0.019785090758147945
0.5886287625418061,-0.048177071760659294,-0.06598909923800711,-0.08181137017630631,0.07029962062861334,0.13572723566639747,0.02658654616536813
0.6020066889632107,-0.04380134887328119,-0.060077050175556174,-0.08456249339336343,0.04808967838817425,0.141937203724095,0.03498180829022601
0.6153846153846154,-0.04055005009992155,-0.05537157317703034,-0.08511146498240835,0.025598670505526736,0.14437257419047586,0.044821643615653786
0.6287625418060201,-0.03780584056281368,-0.05184626414023072,-0.08411261212641816,0.0038478576858423062,0.14270685558308926,0.05581432539970289
0.6421404682274248,-0.034269562131857084,-0.048994460707682305,-0.08175655655617703,-0.016065677976201436,0.13692021929655535,0.06766536846114139
0.6555183946488294,-0.02973577047396809,-0.04634428542575559,-0.07803761181778605,-0.033257653834732545,0.1272519975971715,0.08009476560109113
0.6688963210702341,-0.025373865640589615,-0.04379684183523497,-0.07318658240557926,-0.04728790704705898,0.11413486589965771,0.09271157691350711
0.6822742474916388,-0.022290329567466398,-0.04146612735533406,-0.06783405814059106,-0.05816068777391192,0.09811154371868226,0.10489567135699578
0.6956521739130435,-0.020316461842973022,-0.03930263638748422,-0.06273257015797794,-0.06611363395137666,0.07979167374924233,0.1158314549216936
0.7090301003344481,-0.018519147569257852,-0.03702585458669038,-0.05831693824437503,-0.07139652854067649,0.05989817884832723,0.12466551200364054
0.7224080267558528,-0.016632647353934413,-0.03445502504714509,-0.05451686936063113,-0.07420953358106687,0.03933058116677628,0.13065616798485022
0.7357859531772575,-0.015471564336278538,-0.031789347776318255,-0.050978131243499564,-0.07478481864668685,0.01910214030581386,0.1332387012041344
0.7491638795986622,-0.01581482264104377,-0.029428945841761985,-0.04743616916721851,-0.07345226385498,0.00013953525752465667,0.13204630470143125
0.7625418060200669,-0.017247508451117197,-0.027521488586495835,-0.043888527734291666,-0.07060744746551176,-0.01688731035027361,0.12693857022312283
0.7759197324414716,-0.018506368556457757,-0.025791865663855315,-0.04046401713233378,-0.06665875039202482,-0.03155763065702907,0.11802796673337652
0.7892976588628763,-0.018899246219560295,-0.023869667259952498,-0.03722328289737798,-0.06205057780186827,-0.04358799173232008,0.10567298538974607
0.802675585284281,-0.019023692019567297,-0.02171422631135406,-0.03413760861392432,-0.05730432022801998,-0.05279740450317373,0.09044837068431975
0.8160535117056856,-0.019878157509231706,-0.01963944518605291,-0.03122741045984249,-0.052932519359519675,-0.05918946788810485,0.07311399814359762
0.8294314381270903,-0.021495847744948744,-0.017967542564081857,-0.028620052379560064,-0.04922656461428253,-0.06300313560980116,0.05455910507587509
0.842809364548495,-0.02273713230672901,-0.016763361417327188,-0.026412898960060743,-0.046123257297510836,-0.06463624256645474,0.0356893066064582
0.8561872909698997,-0.022450707480523763,-0.015914311316749495,-0.024509597543575967,-0.0433310749260917,-0.06453166723901091,0.017295880342655653
0.8695652173913043,-0.020595408727781234,-0.015339679349106135,-0.022676284452497593,-0.040620059239469694,-0.06314830123903209,3.6538299463427104e-7
0.882943143812709,-0.018157402847653138,-0.01502388045964437,-0.020798447046419057,-0.03798988475922031,-0.060961798074713504,-0.015710178714615768
0.8963210702341137,-0.01613551668188178,-0.014896755670451702,-0.019056613850906037,-0.03556202383967627,-0.05836738684122195,-0.029458905129605275
0.9096989966555183,-0.014791134735777683,-0.014814001733095604,-0.01779536078987405,-0.03335683327247725,-0.05553653732414871,-0.04105783603007715
0.9230769230769231,-0.013759045373906468,-0.01468994260794667,-0.01719960426572472,-0.031225456958225605,-0.052440639095476214,-0.050625657226279534
0.9364548494983278,-0.012629743347677651,-0.014573359611513632,-0.01709630913716796,-0.029004942239218557,-0.04909420669729545,-0.05859364439272819
0.9498327759197325,-0.011311304275431821,-0.014527607672920507,-0.01707131618585822,-0.026698130997410124,-0.0457500358186683,-0.06555233717085607
0.9632107023411371,-0.009990454278433985,-0.014479516608263826,-0.016769840348935694,-0.024474320161414063,-0.0427829900503655,-0.07206412898512785
0.9765886287625418,-0.008932383044754475,-0.014262985137817397,-0.01610706332056695,-0.022506525215907815,-0.04036990392366456,-0.07857887357952678
0.9899665551839465,-0.008346164517896628,-0.013820823305444034,-0.015235773216500176,-0.020839388346037824,-0.03835479730646876,-0.08545235490787927
1.0033444816053512,-0.008312222139000859,-0.013301177141881086,-0.014363748670258067,-0.019411122462998694,-0.036461981078367976,-0.09297000617471933
1.0167224080267558,-0.00871524228337439,-0.012910322441965966,-0.013611562571707855,-0.01816665927744779,-0.034609665579342676,-0.10133141051604364
1.0301003344481605,-0.00922513481353388,-0.012683274833922679,-0.013012968646151377,-0.01711597381527194,-0.03299623543387416,-0.11062242051298518
1.0434782608695652,-0.009425446523542217,-0.012429948629814763,-0.012585067738304092,-0.016291951176603276,-0.03197315672849753,-0.12077544369003758
1.0568561872909699,-0.009083339852326565,-0.011910002760661955,-0.012344559651938926,-0.015681312187463423,-0.03193632249121154,-0.1314772949440667
1.0702341137123745,-0.008361065689300682,-0.011048829920376578,-0.012250412182039665,-0.015210974294616087,-0.033311442108768234,-0.14206481944480454
1.0836120401337792,-0.0077207903192983126,-0.009991837143897704,-0.012185307292442452,-0.014788890856824707,-0.03647698491821102,-0.1515665292552214
1.0969899665551839,-0.007522193304908776,-0.008977741715511354,-0.01205176210243092,-0.01435552290282221,-0.041584793411259195,-0.15897725295588955
1.1103678929765886,-0.007678924263723532,-0.008174162002834258,-0.011888741957068738,-0.013924944459845014,-0.04850257355259632,-0.16359632874621388
1.1237458193979932,-0.007764102526892041,-0.00761692395746229,-0.01183909113266676,-0.013617495083685061,-0.05703091792460222,-0.16512784820838391
1.137123745819398,-0.007494674837528658,-0.007269865172140299,-0.011966284085726262,-0.013663034421311535,-0.0671601607782269,-0.16346781586430226
1.1505016722408026,-0.007069047867323668,-0.007115526594289621,-0.012134689169799862,-0.014344092248697062,-0.07899110842745798,-0.15845174211687163
1.1638795986622072,-0.00697465167267691,-0.007177190989239874,-0.012124972286612022,-0.015904551037718814,-0.09235075922234992,-0.1498833687830582
1.1772575250836121,-0.0074891463221736215,-0.007452307738012161,-0.011866668531865491,-0.01850747843399634,-0.10654772879811027,-0.13781818619721217
1.1906354515050168,-0.008431151782556672,-0.007830187548454695,-0.011504087202221704,-0.022295333213548846,-0.12056337790761455,-0.12276464015585484
1.2040133779264215,-0.009385457308913417,-0.008104598718826475,-0.011215580987352031,-0.027493801732446897,-0.13341757813224261,-0.10556201307724104
1.2173913043478262,-0.010088815107511842,-0.008119116220656088,-0.011024260110275972,-0.0344453872748774,-0.14429067785735938,-0.08707080676197561
1.2307692307692308,-0.010549743914125914,-0.00794187420594851,-0.010847197440338106,-0.04351689095012347,-0.15239322780626388,-0.06799014570160572
1.2441471571906355,-0.010830329545280916,-0.007879858481520126,-0.010700010407139804,-0.05493089280863645,-0.15695901011143126,-0.048916715708421044
1.2575250836120402,-0.01077572694328711,-0.008259815380359806,-0.010764977651446893,-0.06860387071974257,-0.15749311539788546,-0.03047129004354702
1.2709030100334449,-0.010017678077831063,-0.009143329524190271,-0.01122826702079992,-0.0840500844142063,-0.15395414900015594,-0.01330142994912375
1.2842809364548495,-0.00832551367579843,-0.010263910986319312,-0.012148978002593926,-0.10039688048051695,-0.14658416625880338,0.00202369892415535
1.2976588628762542,-0.006022079367996232,-0.011260114072788858,-0.013617356321028394,-0.11654991068675344,-0.13562404533054528,0.015092198751708315
1.3110367892976589,-0.003997470606539552,-0.01195782869479102,-0.01608189862344134,-0.13147140633898852,-0.12134423963024221,0.02566395055881364
1.3244147157190636,-0.0031268662420254178,-0.01238961127842745,-0.020428516647799936,-0.14440083487659564,-0.10435326268751181,0.03369655103971041
1.3377926421404682,-0.0035508155446154497,-0.012568977702579394,-0.02761974313320044,-0.15484120391072395,-0.08567747365618764,0.039395956554832905
1.351170568561873,-0.004588767785941154,-0.012333060745312641,-0.038172990346653536,-0.16233048000840603,-0.06637252170499222,0.04318019544187368
1.3645484949832776,-0.00548503419602585,-0.011476613024690406,-0.051956261773353364,-0.1662662129712274,-0.04710344454434974,0.04548105659957753
1.3779264214046822,-0.006195807076221068,-0.010021379118970383,-0.06842281415767608,-0.1660235715418025,-0.028219254692382623,0.046511292012156896
1.391304347826087,-0.007290992489284914,-0.008330258980654506,-0.08695693947600408,-0.1612982723921971,-0.010194386089070796,0.046224619585347085
1.4046822742474916,-0.009053788840642108,-0.0070168590893609694,-0.10692743180975324,-0.15232369293881595,0.0062082235175553654,0.04454172243531166
1.4180602006688963,-0.01086814986011287,-0.0068623282007086025,-0.12745216426315295,-0.13973220257643465,0.020293400011245355,0.04164557772645238
1.431438127090301,-0.011647065427714978,-0.00883781530398257,-0.14723461061117904,-0.12421548750464423,0.03182894118861435,0.03807580443293302
1.4448160535117056,-0.010800618966670604,-0.014049831515075278,-0.1647745372679171,-0.10636199348341645,0.040939734901535574,0.03452814946776879
1.4581939799331103,-0.00863067739529901,-0.023433890385849282,-0.17882109862512224,-0.08680262187886331,0.04769195236104123,0.03152558904435874
1.471571906354515,-0.00582965430433981,-0.037355672720218926,-0.18866311663239915,-0.06640443521390813,0.05197702146689076,0.029207281427555798
1.4849498327759196,-0.002858188074656515,-0.05548757140566646,-0.19399834350518494,-0.04618131355334877,0.053867487496105336,0.027373555872183247
