"t_s","lp_x_units","displacement_units","disp_fixed_units"
0,0,-6.7407548053553546e-34,-6.7407548053553546e-34
0.013377926421404682,0,-4.822855690404925e-13,-4.822855690404925e-13
0.026755852842809364,0,2.396606378184288e-12,2.396606378184288e-12
0.04013377926421405,0,6.535295691641068e-11,6.535295691641068e-11
0.05351170568561873,0,1.8582885722045917e-10,1.8582885722045917e-10
0.06688963210702341,0,6.117331368465547e-10,6.117331368465547e-10
0.0802675585284281,0,1.770830263265778e-9,1.770830263265778e-9
0.09364548494983277,0,5.761395400913544e-9,5.761395400913544e-9
0.10702341137123746,0,1.2431262413777686e-8,1.2431262413777686e-8
0.12040133779264214,0,2.659510189450663e-8,2.659510189450663e-8
0.13377926421404682,0,6.628297648832249e-8,6.628297648832249e-8
0.14715719063545152,0,1.2610801366597574e-7,1.2610801366597574e-7
0.1605351170568562,0,2.517670859871307e-7,2.517670859871307e-7
0.17391304347826086,0,4.918431247198264e-7,4.918431247198264e-7
0.18729096989966554,0,9.472055321223444e-7,9.472055321223444e-7
0.20066889632107024,0,0.000001749855368015533,0.000001749855368015533
0.2140468227424749,0,0.0000029284041072663135,0.0000029284041072663135
0.22742474916387959,0,0.000004770461870541341,0.000004770461870541341
0.2408026755852843,0,0.000007601961560303781,0.000007601961560303781
0.25418060200668896,0,0.000011872965024471065,0.000011872965024471065
0.26755852842809363,0,0.000018220375246270368,0.000018220375246270368
0.2809364548494983,0,0.000027576863156296816,0.000027576863156296816
0.29431438127090304,0,0.00004121007870596526,0.00004121007870596526
0.3076923076923077,0,0.000060489072700504325,0.000060489072700504325
0.3210702341137124,0,0.00008741010259988232,0.00008741010259988232
0.33444816053511706,0,0.0001244900851389385,0.0001244900851389385
0.34782608695652173,0,0.0001746783800085855,0.0001746783800085855
0.3612040133779264,0,0.00024141273896082993,0.00024141273896082993
0.3745819397993311,0,0.00032862364978261227,0.00032862364978261227
0.3879598662207358,0,0.0004405072547535126,0.0004405072547535126
0.4013377926421405,0,0.0005812110581141571,0.0005812110581141571
0.41471571906354515,0,0.0007549618434308245,0.0007549618434308245
0.4280936454849498,0,0.0009651418444708434,0.0009651418444708434
0.4414715719063545,0,0.0012138886396818546,0.0012138886396818546
0.45484949832775917,0,0.0015017798155221623,0.0015017798155221623
0.4682274247491639,0,0.0018271937960367762,0.0018271937960367762
0.4816053511705686,0,0.002185819729821319,0.002185819729821319
0.49498327759197325,0,0.0025705126084749667,0.0025705126084749667
0.5083612040133779,0,0.0029715203717339137,0.0029715203717339137
0.5217391304347826,0,0.0033762938043271937,0.0033762938043271937
0.5351170568561873,0,0.0037703295839439117,0.0037703295839439117
0.5484949832775919,0,0.00413857837058742,0.00413857837058742
0.5618729096989966,0,0.0044656749929507045,0.0044656749929507045
0.5752508361204013,0,0.00473682418092058,0.00473682418092058
0.5886287625418061,0,0.004939412245381504,0.004939412245381504
0.6020066889632107,0,0.005062987495129271,0.005062987495129271
0.6153846153846154,0,0.005099594162785934,0.005099594162785934
0.6287625418060201,0,0.005044660925120264,0.005044660925120264
0.6421404682274248,0,0.004896506401915649,0.004896506401915649
0.6555183946488294,0,0.004656321664328209,0.004656321664328209
0.6688963210702341,0,0.004328428532226413,0.004328428532226413
0.6822742474916388,0,0.0039199886264306176,0.0039199886264306176
0.6956521739130435,0,0.003440524489099298,0.003440524489099298
0.7090301003344481,0,0.002901393229422943,0.002901393229422943
0.7224080267558528,0,0.0023159894856466545,0.0023159894856466545
0.7357859531772575,0,0.0016992258222803063,0.0016992258222803063
0.7491638795986622,0,0.0010673523751346154,0.0010673523751346154
0.7625418060200669,0,0.00043801238189297226,0.00043801238189297226
0.7759197324414716,0,-0.00017202246814250594,-0.00017202246814250594
0.7892976588628763,0,-0.000746613192928674,-0.000746613192928674
0.802675585284281,0,-0.0012732192646344924,-0.0012732192646344924
0.8160535117056856,0,-0.0017432446886052374,-0.0017432446886052374
0.8294314381270903,0,-0.0021484154123018384,-0.0021484154123018384
0.842809364548495,0,-0.0024810161980802583,-0.0024810161980802583
0.8561872909698997,0,-0.0027330592237996888,-0.0027330592237996888
0.8695652173913043,0,-0.0029003091575343374,-0.0029003091575343374
0.882943143812709,0,-0.0029853150306203024,-0.0029853150306203024
0.8963210702341137,0,-0.002995516100374014,-0.002995516100374014
0.9096989966555183,0,-0.00293929983062608,-0.00293929983062608
0.9230769230769231,0,-0.002822361436876883,-0.002822361436876883
0.9364548494983278,0,-0.002649570777262123,-0.002649570777262123
0.9498327759197325,0,-0.002430271333416428,-0.002430271333416428
0.9632107023411371,0,-0.0021784070640519216,-0.0021784070640519216
0.9765886287625418,0,-0.0019068724488731277,-0.0019068724488731277
0.9899665551839465,0,-0.0016212638516176136,-0.0016212638516176136
1.0033444816053512,0,-0.001323540462394553,-0.001323540462394553
1.0167224080267558,0,-0.0010198258306894903,-0.0010198258306894903
1.0301003344481605,0,-0.0007213693286081661,-0.0007213693286081661
1.0434782608695652,0,-0.00043564108595344614,-0.00043564108595344614
1.0568561872909699,0,-0.00016421914553150577,-0.00016421914553150577
1.0702341137123745,0,0.00008875968396930083,0.00008875968396930083
1.0836120401337792,0,0.00031424928370093623,0.00031424928370093623
1.0969899665551839,0,0.0005056563994746487,0.0005056563994746487
1.1103678929765886,0,0.0006604497211548255,0.0006604497211548255
1.1237458193979932,0,0.0007762279283403206,0.0007762279283403206
1.137123745819398,0,0.0008500870277109196,0.0008500870277109196
1.1505016722408026,0,0.0008809358400479911,0.0008809358400479911
1.1638795986622072,0,0.0008676013090425559,0.0008676013090425559
1.1772575250836121,0,0.0008058299107525455,0.0008058299107525455
1.1906354515050168,0,0.0006910065080211492,0.0006910065080211492
1.2040133779264215,0,0.0005231901233918827,0.0005231901233918827
1.2173913043478262,0,0.0003053212150581579,0.0003053212150581579
1.2307692307692308,0,0.00003676328859436542,0.00003676328859436542
1.2441471571906355,0,-0.0002849746186835417,-0.0002849746186835417
1.2575250836120402,0,-0.0006546294435343242,-0.0006546294435343242
1.2709030100334449,0,-0.0010570635373785327,-0.0010570635373785327
1.2842809364548495,0,-0.0014791387073249008,-0.0014791387073249008
1.2976588628762542,0,-0.0019178979839818257,-0.0019178979839818257
1.3110367892976589,0,-0.0023689569473510554,-0.0023689569473510554
1.3244147157190636,0,-0.0028125872318299256,-0.0028125872318299256
1.3377926421404682,0,-0.0032223765315393172,-0.0032223765315393172
1.351170568561873,0,-0.003587828968682099,-0.003587828968682099
1.3645484949832776,0,-0.003914923995073239,-0.003914923995073239
1.3779264214046822,0,-0.004197902015820295,-0.004197902015820295
1.391304347826087,0,-0.0044044836631244744,-0.0044044836631244744
1.4046822742474916,0,-0.004502393862317177,-0.004502393862317177
1.4180602006688963,0,-0.0044975822258221205,-0.0044975822258221205
1.431438127090301,0,-0.0044280471165989675,-0.0044280471165989675
1.4448160535117056,0,-0.004309955468020285,-0.004309955468020285
1.4581939799331103,0,-0.004108034168500839,-0.004108034168500839
1.471571906354515,0,-0.0037793535435988786,-0.0037793535435988786
1.4849498327759196,0,-0.00333968066361927,-0.00333968066361927
1.4983277591973243,0,-0.00285910936036639,-0.00285910936036639
1.5117056856187292,0,-0.0023836663207154486,-0.0023836663207154486
1.5250836120401339,0,-0.001895180369417381,-0.001895180369417381
1.5384615384615385,0,-0.0013575263341146448,-0.0013575263341146448
1.5518394648829432,0,-0.0007825887610788714,-0.0007825887610788714
1.565217391304348,0,-0.00023089235932675938,-0.00023089235932675938
1.5785953177257526,0,0.0002452581607183224,0.0002452581607183224
1.5919732441471572,0,0.0006419894278974071,0.0006419894278974071
1.605351170568562,0,0.0009801652947584473,0.0009801652947584473
1.6187290969899666,0,0.0012516981971679904,0.0012516981971679904
1.6321070234113713,0,0.001418202456074183,0.001418202456074183
1.645484949832776,0,0.001466922698166948,0.001466922698166948
1.6588628762541806,0,0.0014206673737897808,0.0014206673737897808
1.6722408026755853,0,0.0012792620688405658,0.0012792620688405658
1.68561872909699,0,0.0010235255568839879,0.0010235255568839879
1.6989966555183946,0,0.0006800085311560614,0.0006800085311560614
1.7123745819397993,0,0.0002907970515731792,0.0002907970515731792
1.725752508361204,0,-0.00015826301104512793,-0.00015826301104512793
1.7391304347826086,0,-0.0006787695761699622,-0.0006787695761699622
1.7525083612040133,0,-0.001211413500995032,-0.001211413500995032
1.765886287625418,0,-0.001710628677332422,-0.001710628677332422
1.7792642140468227,0,-0.0021817456671372215,-0.0021817456671372215
1.7926421404682273,0,-0.002611092863249546,-0.002611092863249546
1.806020066889632,0,-0.0029554245039070835,-0.0029554245039070835
1.8193979933110367,0,-0.0032015752537077886,-0.0032015752537077886
1.8327759197324414,0,-0.003364078265689955,-0.003364078265689955
1.8461538461538463,0,-0.003405250048259423,-0.003405250048259423
1.859531772575251,0,-0.0032714891271473706,-0.0032714891271473706
1.8729096989966556,0,-0.0029856620838909506,-0.0029856620838909506
1.8862876254180603,0,-0.002606811525148301,-0.002606811525148301
1.899665551839465,0,-0.0021353189334793053,-0.0021353189334793053
1.9130434782608696,0,-0.001527819314540185,-0.001527819314540185
1.9264214046822743,0,-0.0007886288124217597,-0.0007886288124217597
1.939799331103679,0,0.00003906588670461053,0.00003906588670461053
1.9531772575250836,0,0.0009189927405760618,0.0009189927405760618
1.9665551839464883,0,0.0018119478855201554,0.0018119478855201554
1.979933110367893,0,0.002695378045210142,0.002695378045210142
1.9933110367892977,0,0.003592547637058596,0.003592547637058596
2.0066889632107023,-0.88,0.0006074614121587584,0.004499839082868296
2.020066889632107,-0.8681879194630873,0.0008133717600164972,0.005335900689451207
2.0334448160535117,-0.8563758389261745,0.0010853350343923655,0.00603953568597852
