"hilbert_index","col","row","temperature_uK","frequency_hz"
248,14,3,2.5937298487038145,1440.4488589795644
249,15,3,1.7820626688872911,1160.3565433814804
250,15,4,3.025616704998007,1616.0890530092377
251,16,4,1.7775731912634791,1158.969594588234
252,16,3,0.667108470834977,862.1762767211303
253,16,2,0.7281963282592939,876.3219100250567
254,15,2,0.4386965306255701,811.2781764467305
255,15,1,-0.2940768261469966,667.4074957169148
256,16,1,0.6839130161394374,866.0446479521808
257,17,1,1.1774960453868064,987.7469732690818
258,17,2,0.013413239486269601,724.3798363989046
259,18,2,0.6615950937562965,860.9108770768026
260,18,1,0.005496516298719778,722.8537231287718
261,19,1,0.9099851945158864,919.8051928767885
262,20,1,0.9291891514341573,924.5228981068063
263,20,2,0.2878869246922809,779.3306795541129
264,19,2,0.030712209271380242,727.7257947148348
265,19,3,0.9686554647064983,934.2944178302449
266,20,3,1.0058124362401717,943.5885346776786
267,20,4,0.3365399130645086,789.4974178630873
268,19,4,0.9814016176197478,937.4722668887247
269,18,4,1.3752550298990152,1041.1794031887484
270,18,3,0.3593430561317714,794.308004572933
271,17,3,1.0327043601001975,950.3726611783738
272,17,4,2.18879011148507,1293.1475003650762
273,17,5,1.8577924169457032,1184.00370261546
274,18,5,1.640796033717058,1117.4999590082364
275,18,6,2.3055291008229504,1333.995184035682
276,17,6,2.90029744777794,1563.026680855231
277,17,7,2.545870608871164,1422.2002036416911
278,17,8,0.9698574687543361,934.593638823494
279,18,8,1.7283015708261125,1143.8564586205425
280,18,7,2.012514676520807,1233.8255459423988
281,19,7,0.8063596036750278,894.7605414729575
282,19,8,1.2306195810920255,1001.8250143035976
283,20,8,1.4660723764778427,1066.6765390017745
284,20,7,-0.5805367721587738,618.3706965880623
285,20,6,-1.1358948031689722,533.3304433629714
286,19,6,-0.16741204395469428,690.3123582352872
287,19,5,-0.46019271415835644,638.5165948465672
288,20,5,-0.41066202088200543,646.9976098351682
289,21,5,0.872107577103862,910.570508534938
290,22,5,0.7824339165503341,889.0756684413461
291,22,6,-0.14952905812749584,693.6088608482592
292,21,6,-0.48899237914396343,633.6365082088302
293,21,7,0.5896744883826868,844.573190475772
294,21,8,1.4262422713571374,1055.4181827193815
295,22,8,1.2880984162785434,1017.2833217255809
296,22,7,0.7784734846447612,888.13813874267
297,23,7,0.44935865906157446,813.5857920728562
298,23,8,0.45679002098523197,815.1980501769334
299,24,8,0.35076765646180375,792.4954955544481
300,24,7,0.08407987081013357,738.1458409202588
301,24,6,0.2702431753018085,775.6762024821348
302,23,6,-0.11034099187658641,700.8878357882779
303,23,5,-0.16994237519469502,689.8471905891327
304,24,5,-0.23929887162126212,677.2182493920743
305,24,4,-0.453664466961226,639.6280176942552
306,24,3,-0.07260272809851226,707.9697096198096
307,23,3,0.08628403780380531,738.579398741485
308,23,4,0.45278856092870645,814.3295238172338
309,22,4,1.275458889737208,1013.8637272471948
310,21,4,1.457341579795304,1064.198463702473
311,21,3,0.8717689070727593,910.4883592859297
312,22,3,0.2419412687351712,769.8499027131571
313,22,2,0.6293031559524956,853.5366167802064
314,21,2,1.9083563112389332,1200.0603441388687
315,21,1,0.20742194584264934,762.8028774202029
316,22,1,0.672088511828982,863.3208667120257
317,23,1,-0.14424502709550496,694.5859147840514
318,23,2,-0.15753116172608433,692.13183253352
319,24,2,0.15767470452064794,752.7604298400081
320,24,1,-0.314413773379559,663.8014289361381
321,25,1,-0.03647963280460986,714.8155030969608
322,26,1,0.9012858921033595,917.6760245961372
323,26,2,1.1470038124010336,979.7559009323726
324,25,2,0.7217221602383843,874.8118089582091
325,25,3,-0.14435001226286934,694.5664889048073
326,25,4,-0.9664892200172521,557.9507544593189
327,26,4,-0.5305926951492963,626.6531326847446
328,26,3,1.9846272106600775,1224.6931776102717
329,27,3,1.870652124228509,1188.06683622017
330,27,4,0.06785823422568582,734.9628775794919
331,28,4,-0.12950256405239532,697.3191811643985
332,28,3,1.8158619464344539,1170.8516872461494
333,28,2,1.5841743016296292,1100.7701039102524
334,27,2,2.673452684650366,1471.368424316029
335,27,1,0.830787249317003,900.6021860357656
336,28,1,1.0030965333525423,942.9060818568292
337,29,1,1.748364964145289,1149.9865916258545
338,29,2,1.5779363221003044,1098.9423715199907
339,30,2,1.083969966663313,963.4410442232485
340,30,1,0.9316809980702788,925.1368240389692
341,31,1,1.4874471847541084,1072.7677674125034
342,32,1,1.2646314422408282,1010.9435291138356
343,32,2,0.14921748933379003,751.0663734461668
344,31,2,0.2784846934365295,777.3810964267522
345,31,3,0.803256637885144,894.0212134555044
346,32,3,0.6510658685448412,858.499425752065
347,32,4,-0.654801162148315,606.2570915925746
348,31,4,0.6228803398268397,852.0774363586709
349,30,4,-0.4159515198775776,646.0865558631608
350,30,3,1.210009270878495,996.3394978230696
351,29,3,1.3565429810618679,1036.0021697287582
352,29,4,0.36794551459922203,796.1303978019191
353,29,5,0.5981337566378337,846.4786177250735
354,29,6,1.228908784118151,1001.3685317084869
355,30,6,1.1704721410705479,985.9004665992522
356,30,5,1.0665555548016323,958.9818149769807
357,31,5,0.4876866440386973,821.9354995727971
358,32,5,-1.4268632368023604,493.55162157181826
359,32,6,0.518129041911635,828.6283582349851
360,31,6,0.6760338129474857,864.2287154236769
361,31,7,1.9333046325136247,1208.062762633167
362,32,7,0.396854850163717,802.2854051163822
363,32,8,0.3252115442893259,787.1184105551616
364,31,8,1.0396716250686735,952.1382607157417
365,30,8,1.295816626274143,1019.3771348320969
366,30,7,2.961394686304805,1588.675061529693
367,29,7,2.0575442561986876,1248.715452069319
368,29,8,1.3060060600416334,1022.1479486799028
369,28,8,1.2531496941384257,1007.856052141263
370,27,8,0.7359117950237684,878.1249490027749
371,27,7,1.0770051800878773,961.6551202707983
372,28,7,2.918730617255455,1570.7209257272411
373,28,6,0.7768649389400383,887.7576395684114
374,28,5,-0.5097127975056418,630.1485323322854
375,27,5,-1.0855833522136211,540.5267509398235
376,27,6,1.6331648623042485,1115.230458974583
377,26,6,-0.0019598919366049516,721.4192854820107
378,26,5,-0.5115191645664228,629.8453685722085
379,25,5,0.20711555031250398,762.74061731295
380,25,6,-0.2360577325254526,677.8032370042213
381,25,7,0.90171882285965,917.7818684661105
382,26,7,0.2560412356828226,772.7470655293183
383,26,8,0.48882463680241023,822.1847155672293
384,25,8,0.11047516786148276,743.3545413145094
385,25,9,0.21709848909823304,764.7717848285791
386,26,9,0.23263304660884765,767.9432689066417
387,26,10,-0.4939936991333909,632.7928463968174
388,25,10,-0.9187087910154768,565.098114853254
389,25,11,-1.1150715270205347,536.2972101770144
390,25,12,0.3504455987056685,792.4275055960013
391,26,12,0.22297018043704445,765.968987353947
392,26,11,-0.9845841432128288,555.2676404783201
393,27,11,0.44090137944508107,811.7548367694887
394,27,12,-0.31894646763300927,663.0003685255822
395,28,12,0.08440905740871399,738.2105754812625
396,28,11,-0.5251680157640145,627.5593825913597
397,28,10,-0.1983347682642635,684.6490701690944
398,27,10,1.2954712575904201,1019.2833504102607
399,27,9,1.467820390566399,1067.173373375727
400,28,9,0.6022132402584774,847.3990461822373
401,29,9,0.6295169946393087,853.5852411120679
402,29,10,-0.4985498058114936,632.0252644502368
403,30,10,-0.7831096606415496,585.884613118892
404,30,9,0.14614787851537447,750.4524461861893
405,31,9,-0.7077212781175584,597.7701201318068
406,32,9,0.3418933781130544,790.6241696345699
407,32,10,1.4194816309486589,1053.5190547940288
408,31,10,-0.1259676141831405,697.9761612672374
409,31,11,0.6282960637562252,853.3076534296131
410,32,11,1.4976326054403362,1075.6825546952948
411,32,12,2.15682683998087,1282.1831113706785
412,31,12,2.300565120354195,1332.2322744361281
413,30,12,0.19887485003789385,761.0679975889853
414,30,11,0.3669407157999513,795.9173200870974
415,29,11,0.2856304304677,778.8623427224837
416,29,12,-0.030250790640288877,716.0026227774079
417,29,13,0.8157661700142982,897.0055347785698
418,29,14,0.8799839081279757,912.4831170711802
419,30,14,0.8516014758788368,905.609798705179
420,30,13,0.5254770853552387,830.2519972777054
421,31,13,0.6338190559528246,854.5640664940706
422,32,13,2.209998754724941,1300.4744168958543
423,32,14,0.9873688506367873,938.9637196554221
424,31,14,1.300645216421541,1020.6892363141199
425,31,15,1.7188324402465702,1140.9746388173749
426,32,15,0.4934163517353757,823.1910510955903
427,32,16,0.8065693938890313,894.8105491897514
428,31,16,1.2759721912158284,1014.0023755748183
429,30,16,1.0917749715560268,965.4463598835217
430,30,15,0.5891217846407648,844.4488448349917
431,29,15,0.49050083693628793,822.5519345125387
432,29,16,0.8255225863996193,899.3399752311224
433,28,16,1.311334139876784,1023.5998114878829
434,27,16,2.2321450895326533,1308.1695876770352
435,27,15,1.0894540274729947,964.8496112778529
436,28,15,1.4728955454799166,1068.617185699878
437,28,14,0.9535825645326889,930.5503666677845
438,28,13,0.5043515214019871,825.5926016687122
439,27,13,0.7775066167573979,887.9094079857898
440,27,14,1.4553389364637994,1063.6308625954669
441,26,14,0.9988146262959086,941.831125484641
442,26,13,1.1239410541388581,973.7548332106503
443,25,13,0.9201169950386336,922.2911953892421
444,25,14,0.5014782093940053,824.9608953560829
445,25,15,0.3349930987937214,789.1721566719349
446,26,15,1.157533882227678,982.5081723747959
447,26,16,0.06669595653197302,734.7353464021891
448,25,16,-0.8560261260707437,574.6136946186388
449,24,16,-0.704552540063694,598.2749403038767
450,24,15,-0.04843649025080876,712.5422260837693
451,23,15,0.7036159664388433,870.6023366296492
452,23,16,0.9530519656688967,930.4188416566017
453,22,16,-0.07864779076544437,706.8305130249985
454,21,16,0.04224452155238112,729.9649504183295
455,21,15,1.726404721678259,1143.2785922257322
456,22,15,0.7581320552768656,883.3383883646757
457,22,14,2.4059810014313343,1370.1752325419804
458,21,14,2.325073768236239,1340.958987318123
459,21,13,0.5043668378037908,825.5959703216575
460,22,13,1.4756227392990267,1069.393841823543
461,23,13,2.7925024528982867,1518.780372366059
462,23,14,1.873839912306504,1189.0761996730157
463,24,14,1.6548513901769135,1121.6920967768006
464,24,13,2.6357714808059494,1456.6723584767703
465,24,12,1.7375129895745802,1146.666830975874
466,23,12,1.903484446242837,1198.5038432456297
467,23,11,1.9822068780126914,1223.903781113423
468,24,11,0.5556993757844239,836.9634975444001
469,24,10,0.08602386272907808,738.5282092673685
470,24,9,0.5139095451852405,827.6974449646877
471,23,9,2.0088541803231155,1232.6229635961236
472,23,10,1.7092072718913485,1138.0527715024018
473,22,10,2.3190620425538766,1338.813135282313
474,22,9,2.704398904017722,1483.5485921951322
475,21,9,1.8534901830115094,1182.6474797205233
476,21,10,1.377540661570973,1041.8135603191806
477,21,11,-0.2670100621444073,672.2372713015003
478,22,11,1.5172042804035795,1081.30567832238
479,22,12,1.0659088918938,958.8166249759574
480,21,12,-0.10065166485680854,702.6993243849608
481,20,12,-1.6870903421076955,460.495542415744
482,19,12,-0.6523190092717908,606.6581076786214
483,19,11,-0.6409695046217545,608.4951132090268
484,20,11,-0.7491545014491998,591.2083479718351
485,20,10,-0.5973364718830161,615.609408005695
486,20,9,0.9931193881711784,940.4032565295507
487,19,9,0.6025606213681636,847.477469841947
488,19,10,-0.5357891919820422,625.7862303924323
